Name;Alt;Day;Month
FILOKTIMON;Filoktimon,Philoktimon;9;3
no widely known nameday;null;10;3
THALIS;Thalis;11;3
THEODORA;Thodora,Theodora;11;3
SAVINA;Sabina,Sabena,Savina,Savena,Zabia,Zabina;11;3
SOFRONIOS;Sofron;11;3
THEOFANIS;Theofania,Theofanis,Fanis;12;3
FANI;Phani,Fenia,Fania,Fanoula;12;3
LEANDROS;Leandros;13;3
MARIOS;Marios;13;3
BENEDICT;Benediktos,Benedikti,Benedict;14;3
EFRASIOS;Efrasios;14;3
MATHILDE;Mathilde,Matilda;14;3
AGAPIOS;Agapios;15;3
GREGORY;Grigoris,Grigorios,Gregory,Gregorios,Gregoris,Golis,Gregor;15;3
IOULIANOS;Ioulianos,Joulian;16;3
CHRISTODOULOS;Christodoulos;16;3
ALEXIOS;Alexios,Alexis,Alex,Alekos,Alexia,Alexa;17;3
GERTRUDE;Gertrude,Geertruide,Geltruda,Gerda,Gerte,Gertraud,Gertruda,Gertrudis,Gerty,Trude,Trudi,Trudie,Trudy;17;3
EDWARD;Edward,Eddy;18;3
DAREIA;Dareea;19;3
CHRYSANTHIS;Hrysanthi,Chrysanthi,Chrysanthis;19;3
HRYSANTHOS;Crysanthos;19;3
CLAUDIA;Claudia;20;3
RODI;Rodi,Rodia;20;3
RODIANOS;Rodianos;20;3
no widely known nameday;null;21;3
DROSOS;Drosos;22;3
DROSOULA;Drosoula,Drosis,Drosida;22;3
no widely known nameday;null;23;3
no widely known nameday;null;24;3
ETHNEGERSIA;Ethnegersia;25;3
EVAGGELOS;Evagelos,Evangelos,Aggelis,Angelis,Eva,Vangelis,Lili,Lilika;25;3
POULIOS;Poulios;26;3
SYLAS;Sylas;26;3
LEEDA;Lida;27;3
LIDIA;Lydia,Lidia,Lidie,Lyda,Lydie;27;3
MAKEDON;Makedon;27;3
MATRONA;Matrona of Thessaloniki - Thessalonica;27;3
FILITAS;Filitas,Filiti;27;3
no widely known nameday;null;28;3
no widely known nameday;null;29;3
no widely known nameday;null;30;3
YPATIS;Ypatis,Hypatius;31;3
April 4 Fools' Day;null;1;4
TITOS;Titos;2;4
ILLYRIOS;Illyrios;3;4
no widely known nameday;null;4;4
PANAGIOTIS;Panayotis,Panagiotis,Panos,Panousos,Panagis,Panagos,Giotis,Yiotis,Panikos,Takis,Panagiota,Panayota,Yiota,Giota,Panagioula,Panagoula,Pani,Tota,Toula,Pegie,Pegy;5;4
EFTIHIOS;Eftychios,Eftyhia,Eftyhis;6;4
no widely known nameday;null;7;4
no widely known nameday;null;8;4
EFPSYHIOS;Efpsyhios,Psyxoula;9;4
JOSEF;Iosif,Sifis;9;4
ANAKSIMENIS;Anaksimenis,Menis;10;4
DIMOKLIS;Dimoklis,Dimos,Dimoklia,Dimokleia;10;4
DIMOSTHENES;Dimosthenis,Dimos,Demos;10;4
DIONISIS;Dionysius,Dionysis,Dionisos,Dionysios,Dionysos,Nionios,Denis,Dennis,Denise,Sissy;10;4
EPAMINONDAS;Epamenondas;10;4
ETEOKLIS;Eteoklis;10;4
ZINON;Zenon,Zinon;10;4
HERCULES;Herakles;10;4
IFESTION;Ifestion;10;4
THEMISTOKLIS;Themistokles,Themistoklis,Themistokleus;10;4
THEOFRASTOS;Theofrastos;10;4
THISEAS;Thiseas;10;4
ISOCRATES;Isocratis;10;4
MAXIMOS;Maximos,Massimos;10;4
MILTIADIS;Miltos;10;4
XENOFON;Xenofontas,Xenia;10;4
HOMER;Homer;10;4
PARMENION;Parmenion;10;4
PELOPIDAS;Pelopidas;10;4
PERICLES;Periklis;10;4
PINDAROS;Pindaros;10;4
POLYVIOS;Polivios;10;4
PROMITHEAS;Promitheas;10;4
SOFOCLES;Sofoclis;10;4
SOCRATES;Sokrates,Sokratis,Socrates;10;4
TIMOTHY;Timotheos,Timothy;10;4
PHILOPIMIN;Philopimin,Philis,Filis,Filopimin;10;4
FOKION;Fokion,Fokos;10;4
ANTIPAS;Antipas,Antypas;11;4
LAZAROS;Lazarus,Lazos;11;4
AKAKIOS;AKAKIOS;12;4
VAIOS;Vaia,Vaios,Juli;12;4
DAPHNE;Daphne,Dafni;12;4
DAFNIS;Dafnis;12;4
CATHOLIC EASTER;Catholic Easter;12;4
GERONTIOS;Gerontios;13;4
MEGALI DEYTERA;Megali Deytera;13;4
PAGALOS;Pagalos;13;4
ARISTARHOS;Aristarhos;14;4
THOMAIS;Thomais;14;4
MEGALI TRITI;Megali Triti;14;4
LEONIDAS;Leonidas,Leo,Leonie;15;4
MEGALI TETARTI;Megali Tetarti;15;4
ALITHEA;Alithea,Alithia,Alitheia;16;4
GALINI;Galene;16;4
GALINOS;Galinos;16;4
CALIS;Kallis,Kallida,Kallia,Kalli,Kalis,Kalida,Kalia,Kali,Callis,Callida,Callia,Calis,Calida,Calia,Caly;16;4
MEGALI PEMPTI;Megali Pempti;16;4
NIKI;Neekee,Nikee;16;4
HIONIA;Hionia;16;4
MEGALI PARASKEVI;Megali Paraskeyi;17;4
MEGALO SABBATO;Megalo Sabbato;18;4
ANASTASIOS;Anastasios,Tassos,Tasos,Anastasia,Tasia,Sia,Tatia,Tasa,Tesa,Tasoula,Tasso;19;4
ANESTIS;Anestis;19;4
LABROS;Lambros,Labrini;19;4
PASCHALIS;Paschalis;19;4
PASCHALINA;Paschalina;19;4
STASINOS;Stasinos,Stasini,Stasia,Stasa,Stasina;19;4
ORTHODOX EASTER – PASCHA;Orthodox Easter – Pascha;19;4
ZAKHAIOS;Zakhaios;20;4
ALEXANDRA;Alexis,Alexandra,Sandra,Sander;21;4
IRINI;Eirene,Eirini,Irene,Irini,Rene,Rena,Renia,Rhenia;21;4
IANOS;Janos,Janus,Ianos,Gennadi,Gennaro,Janan,Janiusz,Januarius,Janusz,Jenaro,Jenarius,Jennaro;21;4
JANUARY;Ianouarios;21;4
NIKOLAOS;Nikolaos,Nikoleta,Nikos,Nicholas,Nicolas,Nick;21;4
RAPHAEL;Rafael;21;4
FAISTOS;Faistos;21;4
THEOHARIS;Theoharis,Theoharoula,Haroula;22;4
NATHANAEL;Nathanael,Nathanail;22;4
NEARHOS;Nearxos;22;4
GEORGIA;Georgia,Georgette,Georgete,Gina,Tzina;23;4
GEORGE;Georgios,Giorgos,Yorgos,George;23;4
ACHILLES;Achilleas;24;4
DOUKAS;Doukas;24;4
ELIZABETH;Elisavet,Elisabet,Elisabeth,Lisa,Zeta,Zetta;24;4
ZISIS;Zisis,Zisoula;24;4
ZISIMOS;Zisimos;24;4
ZOE;Zoe,Zoi,Zois;24;4
THAVMASTOS;Thavmastos,Thavmasti,Tammy;24;4
KRINI;Krini,Krinio;24;4
PANAGIOTIS;Panayotis,Panagiotis,Panos,Panousos,Panagis,Panagos,Giotis,Yiotis,Panikos,Takis,Panagiota,Panayota,Yiota,Giota,Panagioula,Panagoula,Pani,Tota,Toula,Pegie,Pegy;24;4
PIGI;Pege,Pigi;24;4
POLYZOIS;Polizois,Polyzois,Polyzoes,Polizoes;24;4
MARKOS;Markos,Mark,Marcos;25;4
NIKI;Neekee,Nikee;25;4
GLAFYRA;Glafyra;26;4
THOMAS;Thomas,Tom;26;4
no widely known nameday;null;27;4
MAGNOS;Magnos;28;4
JASON;Iason,Jason,Iasonas;29;4
KERKYRA;Kerkyra,Kerkira;29;4
SOSIPATROS;Sosipatros,Sopatros,Patra;29;4
ARGYRO;Argyro;30;4
ASIMAKIS;Asimakis;30;4
ASIMINA;Asimina;30;4
DONATOS;Donatos,Donata,Donatella;30;4
JACOB;Iakovos,Giacomo,Mino,Jacob,Jacques,Jaquet,Jacqueline,Jacquiline,James,Jemmy,Janie,Jakob,Jackel,Jockel,Jacky;30;4
MALAMATI;Malamati,Mala,Malamatenia,Matina;30;4
JEREMIA;Ieremia;1;5
ISIDORA;Isidora,Dora;1;5
TAMARA;Tamara,Tammara,Tamar;1;5
FILOSOFOS;Filosofos;1;5
AVGERINOS;Avgerinos,Avgeris,Avgerou,Avgerini,Ava;2;5
ESPEROS;Esperos;2;5
MATRONA;Matrona of Russia - The Blind;2;5
BORIS,BORYS,MPORISOS (MICHAEL);Boris,Borys,Mporisos (Michael);2;5
MYROFORA;Myrofora,Myrrh-Bearing Woman;3;5
RODOPI;Rodopi,Rodopee;3;5
MELIA;Melia;4;5
EIRINAIOS;Eirinaios,Irenaeus;5;5
IRINI;Eirene,Eirini,Irene,Irini,Rene,Rena,Renia,Rhenia;5;5
EFRAIM;Efraim;5;5
EFREM;Efrem;5;5
IOV;Iov,Job,Iovia,Iobia,Jobia,Jovia,Iovi,Iobi;6;5
SERAPHIM;Serafeim,Serafim,Serafina;6;5
no widely known nameday;null;7;5
THEOLOGOS;Theologos;8;5
MELIOS;Melios,Milios,Melio,Milio;8;5
ESSAIAS;Hesaias,Isaias;9;5
CHRISTOPHER;Christoforos;9;5
BATHSHEBA;Bathsheba,Bathsheeba,Bersave,Bersebe,Verseve,Beersheba,Virsaviya,Varsavia;10;5
MOTHER'S DAY;Mother's day;10;5
SIMON;Simonas,Simon;10;5
ARGYRIS;Argyris;11;5
ARMODIOS;Armodios;11;5
DIOSKOURIDIS;Dioskouridis,Dioskoridis,Dioskoros;11;5
METHODIOS;Methodios;11;5
OLYMPIA;Olimpia;11;5
EPIFANEIOS;Epifanios;12;5
THEODOROS;Theodoros of Kythera,Thodoris,Theodore,Teo,Thodora,Theodora;12;5
GLYKERIA;Glykeria;13;5
ARISTOTELE;Aristotelis,Telis;14;5
THERAPON;Therapon;14;5
ISIDOROS;Isidoros;14;5
ACHILLIOS;Achillios;15;5
KALI;Kalee,Kaylee;15;5
PAHOMIOS;Pahomios,Pahoumios,Pahos;15;5
no widely known nameday;null;16;5
ADRONIKOS;Andronikos,Androniki;17;5
JUNIA;Iounia;17;5
SOLON;Solon,Solonas,Solohon;17;5
GALATEIA;Galateia;18;5
JULIA;Ioulia,Julia,Jule,Julie;18;5
FAEINI;Faeini;18;5
THEOGNOSTOS;Theognostos,Theognosios,Theognosia;19;5
THEOKTISTOS;Theoktistos;19;5
MAGDALINI;Magdalena,Magdalene,Magdalini,Markella,Magda;19;5
MARYLENA;Marylena,Maryelena;19;5
MENANDROS;Menandros;19;5
MEMORY OF GREEK PONTIOS GENOCIDE;Memory of Greek Pontios Genocide;19;5
PATRICK;Patrikios,Patricia;19;5
LEEDA;Lida;20;5
LITO;Lito,Leeto,Leto;20;5
LIDIA;Lydia,Lidia,Lidie,Lyda,Lydie;20;5
HELEN;Elena,Elene,Ellen,Eleni,Lena,Eleanor,Eleonora,Eleonor,Nora,Marilena;21;5
CONSTANTINA;Thina,Kostantina,Dina,Costantina;21;5
CONSTANTIN;Konstantinos,Kostantinos,Kostas,Costas,Constantine,Costantine,Gus;21;5
NANTIA;Nantia,Nandia,Nadia,Nadya;21;5
EMILIOS;Emile,Emilia,Emily,Emma;22;5
KODROS;Kodros;22;5
no widely known nameday;null;23;5
MARKIANI;Markiani;24;5
PALLADIA;Palladia;24;5
PHOTINI;Fotine,Fotini,Foto,Fotoula,Fay,Fofo;24;5
CHRISTIAN;Christian;24;5
no widely known nameday;null;25;5
ALFAIOS;Alfaios,Alfeos;26;5
KARPOS;Karpos;26;5
SINESIOS;Sinesios;26;5
ALYPIOS;Alypios;27;5
IOANNIS;Ioannis Rossos;27;5
DIMITRIOS;Demetris,Dimitris,Dimitrios,Mitros;28;5
DIOSKOURIDIS;Dioskouridis;28;5
NEFELI;Nefeli;28;5
THEODOSIA;Theodosia;29;5
MEMORY OF THE DEFEAT OF KOSTANTINOUPOLIS BY THE TURKS IN 1453;Memory of the Defeat of Kostantinoupolis by the Turks in 1453;29;5
OLIVIANOS;Olivianos,Olvianos,Olivia;29;5
IPOMONI;Ypomoni;29;5
EMMELEIA;Emeleia,Amy;30;5
ERMEIAS;Ermeias,Ermeia;31;5
MAGOS;Magos,5a;31;5
GERAKINA;Gerakina;1;6
EVELPISTOS;Evelpistos;1;6
THESPESIOS;Thespesios,Thespesia;1;6
IERAX;Ierax;1;6
JUSTINE;Justine,Ioustinos;1;6
PYRROS;Pyros;1;6
MARINOS;Marinos;2;6
NIKIFOROS;Nikiforos;2;6
IERIA;Ieria;3;6
YPATIA;Ypatia;3;6
MARTHA;Martha;4;6
APOLLON;Apollon;5;6
DOROTHEOS;Dorotheos,Dorothea,Dorothy;5;6
NIKANDROS;Nikandros;5;6
PLOUTARHOS;Ploutarhos,Ploutos,Plouto;5;6
SELENE;Selene,Seline;5;6
ILARION;Ilarion,Ilarionas,Ilaria,Ilariada,Lariada;6;6
SATURDAY OF SOULS;Saturday of Souls;6;6
ZINAIS;Zinais;7;6
PANAGIS;Panayis,Panagos;7;6
SEVASTIANI;Sebastiani,Sebastian,Sevasti,Sevi;7;6
PENTECOST;Pentecost;7;6
KALLIOPI;Kalliope,Kaliopi,Popi;8;6
KORENNA;Korenna;8;6
KORI;Koree;8;6
KORINA;Korina;8;6
KORINOS;Korinos;8;6
NAFKRATIS;Nafkratis;8;6
DAY OF THE HOLY GHOST;Day of the Holy Ghost;8;6
TRIADA;Triad;8;6
RODANTHI;Rodanthi,Rozanthi;9;6
no widely known nameday;null;10;6
BARTHOLOMEOS;Bartholomeus;11;6
VARNAVAS;Varnavas;11;6
ZAFEIRIOS;Zafeirios,Zafeiro,Zafeiria;11;6
LUKE;Loukas,Loska,Loskas,Lucas,Luke;11;6
ONOUFRIOS;Onoufrios;12;6
TRIFILIOS;Trifillios,Trifilios;13;6
ELISSAIOS;Elisaios,Elisso,Eliso;14;6
NEFON;Nefon;14;6
ALL;All Saints,Agioi Pantes,Agios Pantas;14;6
AVGOUSTA;Avgousta;15;6
AFGOUSTINOS;Afgoustinos,Afgoustos,Augoustos,Avgoustis,Avgoustinos,Avgoustos;15;6
IERONYMOS;Ieronymos,Jeronymo;15;6
LIVYI;Livyi,Lybia;15;6
MONICA;Monika,Monique,Mona;15;6
ORTANSIA;Ortansia,Hortisia;15;6
TICHON;Tychon;16;6
ISMAIL;Ismail;17;6
FELIX;Felix;17;6
ERASMOS;Erasmos;18;6
LEONTIOS;Leontios;18;6
ZOSIMOS;Zosimos,Zosimus;19;6
PAISIOS;Paisios;19;6
KALLISTOS;Kallistos,Kalistos;20;6
METHODIOS;Methodius;20;6
AFRODISIOS;Afrodisios;21;6
FATHER'S DAY;Father's day;21;6
EFSEVIOS;Evsevios,Evsevia;22;6
ZINAS;Zinas;22;6
AGRIPPINA;Agrippina;23;6
ARISTOKLIS;Aristoklis;23;6
LOULOU;Loulou;23;6
ST JHON'S BIRTHDAY;St Jhon's Birthday;24;6
PANAGIOTIS;Panayotis,Panagiotis,Panos,Panousos,Panagis,Panagos,Giotis,Yiotis,Panikos,Takis,Panagiota,Panayota,Yiota,Giota,Panagioula,Panagoula,Pani,Tota,Toula,Pegie,Pegy;24;6
EROTAS;Erotas;25;6
FEVRONIA;Phevronia;25;6
DAVID;David;26;6
MAKARIOS;Makarios;26;6
PIERRE;Pierion,Pierro,Pierre,Pieris;27;6
ANARGYROS;Anargyros,Anargyri;28;6
GERMANOS;Germanos;28;6
PAVLOS;Pavlos,Paul,Pavlina;29;6
PETER;Petros,Peter,Paul,Petroula,Petrina,Petras,Petrakis,Petrinos,Petria,Petra;29;6
APOSTOLOS;Apostolis,Apostolos,Tolis,Lea,Lia,Apostolina,Polina;30;6
MELITON;Meliton;30;6
ANARGYROS;Anargyros,Anargyri;1;7
DAMIANOS;Damianos,Damian;1;7
COSMAS;Kosmas;1;7
MAVRIKIOS;Mavrikios,Maurice;1;7
no widely known nameday;null;2;7
ANATOLIOS;ANATOLIOS;3;7
ZOUMBOULIA;Zoumboulia;3;7
YAKINTHOS;Yakinthos,Jacinthus,Hyacinth;3;7
no widely known nameday;null;4;7
LAMPADOS;Lampados;5;7
LYKIOS;Lykios;6;7
SATYROS;Satyros;6;7
KYRIAKI;Kyriake,Kyriakos,Kyriaki,Kiriaki,Kiki,Kitsa,Korina,Kitsos,Sundy,Domenica,Dominica,Cyriaca,Kyriaca,Ria,Iria,Ia;7;7
THEOFILOS;Theofilos,Theofilitsa,Filio;8;7
PROKOPIS;Prokopios;8;7
PAGRATIOS;Pagratios,Pagratia;9;7
AMALIA;Amalia,Amelie;10;7
EFIMIA;Efemia,Efimia;11;7
OLGA;Olga;11;7
VERENIC;Verenike,Vereniki,Verenica;12;7
VERONIC;Veronike,Veroniki,Veronica,Berenice;12;7
ILIOFOTOS;Heliofotos;13;7
SARAH;Sarah;13;7
AKYLAS;Akylas;14;7
NIKODIMOS;Nikodemos,Nikodimos;14;7
VLADIMIR;Vladimiros;15;7
JULITTA;Ioulitta;15;7
KIRIKOS;Kerykos,Kirykos;15;7
no widely known nameday;null;16;7
ALEXANDRA;Alexis,Alexandra,Sandra,Sander;17;7
ALIKI;Alix,Aliki,Alice,Alisia,Alicia,Alysia,Alika,Adelaide;17;7
MARINA;Marena,Marinos;17;7
EMILIANOS;Emilianos;18;7
GARYFALLIA;Garyfallia;19;7
DIAS;Dias,Zeus;19;7
MAKRINA;Makrena;19;7
ELIAS;Elias,Ilias,Eliana,Liana;20;7
no widely known nameday;null;21;7
MAGDALINI;Magdalena,Magdalene,Magdalini,Markella,Magda;22;7
MARYLENA;Marylena,Maryelena;22;7
MARKELLA;Markela;22;7
MENELAOS;Menelaos,Meneleus,Menelaus,Menele,Mauvier;22;7
no widely known nameday;null;23;7
ATHINAGORAS;Athinagoras;24;7
BORIS,BORYS,MPORISOS (ROMANUS);Boris,Borys,Mporisos (Romanus);27;7
CHRISTINA;Christina,Christy,Chris,Christyne;24;7
ANAIS;Anais;25;7
ANN;Anna,Annita,Anneta,Hanna;25;7
EFPRAKSIA;Efpraxia;25;7
